mse_id,udyam_number,enterprise_name,owner_name,owner_gender,is_women_owned,enterprise_type,major_activity,state,district,tier,social_category,nic_2digit,nic_5digit,nic_description,sector,category_l1,language_preference,turnover_lakh,investment_lakh,products_services,registration_month,registered,catalog_created,snp_matched,live,first_order
MSE01437,UDYAM-LD-03-0001437,Minicoy Enterprise 1437,Owner 1437,Male,0,Micro,Manufacturing,Lakshadweep,Minicoy,3,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,ml,43.4,23.49,Earphones,4,1,1,0,0,0
MSE01438,UDYAM-TN-03-0001438,Madurai Enterprise 1438,Owner 1438,Female,1,Micro,Manufacturing,Tamil Nadu,Madurai,2,SC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,21.65,25.89,Ready-to-Eat Snacks|Papad|Mango Pickle,6,1,1,1,1,1
MSE01439,UDYAM-KL-02-0001439,Kozhikode Enterprise 1439,Owner 1439,Male,0,Micro,Manufacturing,Kerala,Kozhikode,2,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,ml,80.65,18.78,Terracotta Pot|Wooden Craft,6,1,1,0,0,0
MSE01440,UDYAM-AR-02-0001440,Tawang Enterprise 1440,Owner 1440,Female,1,Micro,Manufacturing,Arunachal Pradesh,Tawang,3,SC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,47.87,16.4,Decorative Shelf|Wooden Chair,5,1,1,1,1,0
MSE01441,UDYAM-MH-02-0001441,Pune Enterprise 1441,Owner 1441,Female,1,Small,Services,Maharashtra,Pune,1,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,en,936.59,87.38,Web Development|Digital Marketing,5,1,1,1,1,1
MSE01442,UDYAM-PB-01-0001442,Ludhiana Enterprise 1442,Owner 1442,Male,0,Micro,Manufacturing,Punjab,Ludhiana,2,General,01,01300,Crop and animal production,agriculture,Agriculture,pa,36.16,24.54,Organic Fertilizer,4,1,0,0,0,0
MSE01443,UDYAM-UK-02-0001443,Haridwar Enterprise 1443,Owner 1443,Female,1,Micro,Services,Uttarakhand,Haridwar,3,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,48.77,22.47,Catalog Design|Web Development|IT Support,6,1,1,1,1,0
MSE01444,UDYAM-AS-02-0001444,Dibrugarh Enterprise 1444,Owner 1444,Male,0,Micro,Manufacturing,Assam,Dibrugarh,3,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,13.97,11.33,Terracotta Pot|Brass Lamp|Papier-mache Decor,5,1,1,0,0,0
MSE01445,UDYAM-UP-03-0001445,Varanasi Enterprise 1445,Owner 1445,Male,0,Small,Manufacturing,Uttar Pradesh,Varanasi,3,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,450.45,265.12,Terracotta Pot|Papier-mache Decor,6,1,1,1,1,1
MSE01446,UDYAM-KA-02-0001446,Mysuru Enterprise 1446,Owner 1446,Other,0,Micro,Manufacturing,Karnataka,Mysuru,2,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,kn,66.0,2.89,Brass Lamp|Wooden Craft,4,1,1,1,1,0
MSE01447,UDYAM-DL-03-0001447,South East Delhi Enterprise 1447,Owner 1447,Female,1,Small,Manufacturing,Delhi,South East Delhi,3,ST,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,en,382.93,240.64,Wooden Craft,2,1,1,1,0,0
MSE01448,UDYAM-CT-01-0001448,Raipur Enterprise 1448,Owner 1448,Male,0,Micro,Manufacturing,Chhattisgarh,Raipur,2,SC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,36.21,38.9,Papad,1,1,1,1,0,0
MSE01449,UDYAM-TS-02-0001449,Warangal Enterprise 1449,Owner 1449,Female,1,Micro,Manufacturing,Telangana,Warangal,2,ST,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,te,43.11,39.44,Ready-to-Eat Snacks,2,1,1,0,0,0
MSE01450,UDYAM-AS-03-0001450,Silchar Enterprise 1450,Owner 1450,Other,0,Small,Manufacturing,Assam,Silchar,3,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,hi,432.36,82.56,Mobile Charger|Power Adapter,4,1,1,1,1,0
MSE01451,UDYAM-BR-01-0001451,Patna Enterprise 1451,Owner 1451,Female,1,Micro,Manufacturing,Bihar,Patna,1,ST,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,23.73,35.19,Handloom Dupatta,4,1,1,0,0,0
MSE01452,UDYAM-RJ-03-0001452,Udaipur Enterprise 1452,Owner 1452,Female,1,Micro,Manufacturing,Rajasthan,Udaipur,3,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,38.5,17.36,Ready-to-Eat Snacks|Masala Mix,1,1,1,0,0,0
MSE01453,UDYAM-UP-02-0001453,Kanpur Nagar Enterprise 1453,Owner 1453,Female,1,Micro,Services,Uttar Pradesh,Kanpur Nagar,2,General,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,14.51,38.68,Web Development|IT Support,5,1,1,1,1,0
MSE01454,UDYAM-RJ-03-0001454,Udaipur Enterprise 1454,Owner 1454,Other,0,Micro,Services,Rajasthan,Udaipur,3,General,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,50.43,25.01,IT Support|Catalog Design,6,1,1,1,1,1
MSE01455,UDYAM-UP-03-0001455,Varanasi Enterprise 1455,Owner 1455,Female,1,Micro,Manufacturing,Uttar Pradesh,Varanasi,3,General,26,26101,Manufacture of electronic components,electronics,Electronics,hi,27.63,2.05,Mobile Charger|Earphones,5,1,0,0,0,0
MSE01456,UDYAM-GJ-03-0001456,Rajkot Enterprise 1456,Owner 1456,Female,1,Small,Manufacturing,Gujarat,Rajkot,3,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,gu,610.71,103.07,Ready-to-Eat Snacks|Mango Pickle|Masala Mix,5,1,1,1,0,0
MSE01457,UDYAM-JK-03-0001457,Anantnag Enterprise 1457,Owner 1457,Male,0,Small,Services,Jammu & Kashmir,Anantnag,3,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,353.69,261.65,Digital Marketing|IT Support|Catalog Design,2,1,0,0,0,0
MSE01458,UDYAM-KA-01-0001458,Bengaluru Urban Enterprise 1458,Owner 1458,Male,0,Micro,Manufacturing,Karnataka,Bengaluru Urban,1,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,21.72,20.65,Mango Pickle,3,1,0,0,0,0
MSE01459,UDYAM-AP-03-0001459,Tirupati Enterprise 1459,Owner 1459,Female,1,Micro,Manufacturing,Andhra Pradesh,Tirupati,3,SC,01,01300,Crop and animal production,agriculture,Agriculture,en,32.45,42.69,Compost|Herbal Saplings,2,1,1,0,0,0
MSE01460,UDYAM-UP-01-0001460,Lucknow Enterprise 1460,Owner 1460,Male,0,Small,Manufacturing,Uttar Pradesh,Lucknow,1,General,01,01300,Crop and animal production,agriculture,Agriculture,hi,137.16,282.83,Vegetable Seeds|Compost,3,1,1,1,1,0
MSE01461,UDYAM-TS-03-0001461,Nizamabad Enterprise 1461,Owner 1461,Other,0,Micro,Manufacturing,Telangana,Nizamabad,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,te,73.85,38.94,Storage Rack,2,1,1,1,1,1
MSE01462,UDYAM-DL-01-0001462,New Delhi Enterprise 1462,Owner 1462,Male,0,Micro,Manufacturing,Delhi,New Delhi,1,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,36.96,45.22,Cotton Saree|Handloom Dupatta,5,1,1,1,1,0
MSE01463,UDYAM-MP-02-0001463,Bhopal Enterprise 1463,Owner 1463,Female,1,Small,Manufacturing,Madhya Pradesh,Bhopal,2,OBC,01,01300,Crop and animal production,agriculture,Agriculture,hi,510.37,276.31,Compost|Organic Fertilizer,3,1,0,0,0,0
MSE01464,UDYAM-MH-02-0001464,Pune Enterprise 1464,Owner 1464,Male,0,Micro,Manufacturing,Maharashtra,Pune,1,SC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,mr,61.26,30.11,Handloom Dupatta|Cotton Saree|Kurta Fabric,5,1,1,1,1,0
MSE01465,UDYAM-TS-02-0001465,Warangal Enterprise 1465,Owner 1465,Female,1,Small,Manufacturing,Telangana,Warangal,2,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,455.5,312.6,Ready-to-Eat Snacks|Papad,6,1,1,1,1,0
MSE01466,UDYAM-AP-03-0001466,Tirupati Enterprise 1466,Owner 1466,Male,0,Micro,Services,Andhra Pradesh,Tirupati,3,General,62,62011,"Writing, modifying, testing of computer programs",services,Services,te,52.03,37.63,Catalog Design|IT Support|Web Development,6,1,1,1,1,0
MSE01467,UDYAM-KA-03-0001467,Belagavi Enterprise 1467,Owner 1467,Other,0,Micro,Manufacturing,Karnataka,Belagavi,3,Minority,01,01300,Crop and animal production,agriculture,Agriculture,kn,79.31,28.65,Compost|Herbal Saplings,5,1,1,1,1,1
MSE01468,UDYAM-GJ-01-0001468,Ahmedabad Enterprise 1468,Owner 1468,Other,0,Micro,Manufacturing,Gujarat,Ahmedabad,1,ST,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,34.61,27.88,Cotton Saree,3,1,1,1,1,1
MSE01469,UDYAM-RJ-02-0001469,Jodhpur Enterprise 1469,Owner 1469,Male,0,Small,Services,Rajasthan,Jodhpur,2,General,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,557.6,230.85,Digital Marketing,4,1,1,1,0,0
MSE01470,UDYAM-ML-03-0001470,West Garo Hills Enterprise 1470,Owner 1470,Other,0,Micro,Manufacturing,Meghalaya,West Garo Hills,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,78.27,33.82,Kitchen Organizer|Decorative Shelf|Wooden Chair,4,1,1,1,1,0
MSE01471,UDYAM-AP-02-0001471,Vijayawada Enterprise 1471,Owner 1471,Male,0,Micro,Services,Andhra Pradesh,Vijayawada,3,SC,62,62011,"Writing, modifying, testing of computer programs",services,Services,te,85.91,30.38,Web Development|IT Support,1,1,0,0,0,0
MSE01472,UDYAM-GA-01-0001472,North Goa Enterprise 1472,Owner 1472,Female,1,Micro,Manufacturing,Goa,North Goa,3,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,54.27,26.9,Masala Mix|Papad,3,1,1,1,1,1
MSE01473,UDYAM-MH-03-0001473,Nagpur Enterprise 1473,Owner 1473,Female,1,Micro,Manufacturing,Maharashtra,Nagpur,2,OBC,01,01300,Crop and animal production,agriculture,Agriculture,en,89.93,44.97,Organic Fertilizer|Vegetable Seeds,6,1,1,1,1,1
MSE01474,UDYAM-UP-01-0001474,Lucknow Enterprise 1474,Owner 1474,Male,0,Micro,Manufacturing,Uttar Pradesh,Lucknow,1,ST,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,68.73,18.77,Kurta Fabric,3,1,0,0,0,0
MSE01475,UDYAM-UP-01-0001475,Lucknow Enterprise 1475,Owner 1475,Female,1,Small,Manufacturing,Uttar Pradesh,Lucknow,1,General,01,01300,Crop and animal production,agriculture,Agriculture,hi,102.25,237.09,Organic Fertilizer|Herbal Saplings|Vegetable Seeds,4,1,0,0,0,0
MSE01476,UDYAM-MH-03-0001476,Nagpur Enterprise 1476,Owner 1476,Other,0,Micro,Manufacturing,Maharashtra,Nagpur,2,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,mr,78.12,42.49,Kurta Fabric|Handloom Dupatta|Cotton Saree,4,1,1,1,1,1
MSE01477,UDYAM-PB-01-0001477,Ludhiana Enterprise 1477,Owner 1477,Other,0,Small,Manufacturing,Punjab,Ludhiana,2,General,31,31001,Manufacture of furniture,others,Home & Kitchen,pa,745.46,222.16,Wooden Chair,6,1,1,1,1,1
MSE01478,UDYAM-GJ-03-0001478,Rajkot Enterprise 1478,Owner 1478,Male,0,Micro,Manufacturing,Gujarat,Rajkot,3,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,gu,25.85,9.36,Cotton Saree|Silk Stole|Handloom Dupatta,3,1,0,0,0,0
MSE01479,UDYAM-WB-03-0001479,Siliguri Enterprise 1479,Owner 1479,Female,1,Micro,Manufacturing,West Bengal,Siliguri,3,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,68.18,26.12,Papier-mache Decor|Wooden Craft,6,1,1,0,0,0
MSE01480,UDYAM-UP-03-0001480,Varanasi Enterprise 1480,Owner 1480,Female,1,Micro,Manufacturing,Uttar Pradesh,Varanasi,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,52.09,11.61,Decorative Shelf|Wooden Chair|Kitchen Organizer,5,1,0,0,0,0
MSE01481,UDYAM-ML-03-0001481,West Garo Hills Enterprise 1481,Owner 1481,Male,0,Small,Manufacturing,Meghalaya,West Garo Hills,3,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,642.05,338.6,Kurta Fabric|Cotton Saree|Handloom Dupatta,1,1,1,1,0,0
MSE01482,UDYAM-ML-02-0001482,Ri-Bhoi Enterprise 1482,Owner 1482,Male,0,Micro,Manufacturing,Meghalaya,Ri-Bhoi,3,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,en,82.66,7.02,Earphones|Power Adapter,2,1,1,1,1,1
MSE01483,UDYAM-AS-03-0001483,Silchar Enterprise 1483,Owner 1483,Male,0,Small,Manufacturing,Assam,Silchar,3,Minority,01,01300,Crop and animal production,agriculture,Agriculture,as,877.02,119.98,Organic Fertilizer,6,1,1,1,0,0
MSE01484,UDYAM-WB-02-0001484,Howrah Enterprise 1484,Owner 1484,Female,1,Small,Manufacturing,West Bengal,Howrah,2,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,897.57,245.4,Ready-to-Eat Snacks,5,1,1,1,1,0
MSE01485,UDYAM-NL-01-0001485,Kohima Enterprise 1485,Owner 1485,Male,0,Small,Manufacturing,Nagaland,Kohima,3,General,26,26101,Manufacture of electronic components,electronics,Electronics,hi,883.81,315.99,Mobile Charger|Power Adapter|LED Bulb,6,1,1,1,1,1
MSE01486,UDYAM-GJ-02-0001486,Surat Enterprise 1486,Owner 1486,Male,0,Small,Manufacturing,Gujarat,Surat,2,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,gu,933.91,77.61,Kitchen Organizer|Storage Rack|Wooden Chair,3,1,1,1,0,0
MSE01487,UDYAM-PB-01-0001487,Ludhiana Enterprise 1487,Owner 1487,Female,1,Micro,Manufacturing,Punjab,Ludhiana,2,General,01,01300,Crop and animal production,agriculture,Agriculture,pa,87.86,10.89,Compost|Organic Fertilizer,3,1,1,1,0,0
MSE01488,UDYAM-NL-01-0001488,Kohima Enterprise 1488,Owner 1488,Female,1,Micro,Manufacturing,Nagaland,Kohima,3,ST,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,79.18,38.46,Papad,4,1,0,0,0,0
MSE01489,UDYAM-UK-01-0001489,Dehradun Enterprise 1489,Owner 1489,Female,1,Small,Manufacturing,Uttarakhand,Dehradun,2,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,hi,884.14,249.57,Earphones|Power Adapter|Mobile Charger,1,1,0,0,0,0
MSE01490,UDYAM-PB-01-0001490,Ludhiana Enterprise 1490,Owner 1490,Female,1,Micro,Manufacturing,Punjab,Ludhiana,2,Minority,01,01300,Crop and animal production,agriculture,Agriculture,pa,45.49,8.59,Herbal Saplings,3,1,1,1,1,1
MSE01491,UDYAM-RJ-02-0001491,Jodhpur Enterprise 1491,Owner 1491,Male,0,Micro,Manufacturing,Rajasthan,Jodhpur,2,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,39.81,12.98,Mango Pickle,4,1,1,1,1,1
MSE01492,UDYAM-WB-02-0001492,Howrah Enterprise 1492,Owner 1492,Male,0,Micro,Manufacturing,West Bengal,Howrah,2,OBC,26,26101,Manufacture of electronic components,electronics,Electronics,bn,44.53,7.69,LED Bulb|Mobile Charger,2,1,1,1,1,0
MSE01493,UDYAM-MP-02-0001493,Bhopal Enterprise 1493,Owner 1493,Other,0,Micro,Manufacturing,Madhya Pradesh,Bhopal,2,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,85.08,39.58,Papad,3,1,1,1,1,1
MSE01494,UDYAM-AP-02-0001494,Vijayawada Enterprise 1494,Owner 1494,Female,1,Micro,Manufacturing,Andhra Pradesh,Vijayawada,3,General,31,31001,Manufacture of furniture,others,Home & Kitchen,en,49.29,18.25,Wooden Chair|Decorative Shelf|Storage Rack,6,1,1,1,1,0
MSE01495,UDYAM-PB-03-0001495,Jalandhar Enterprise 1495,Owner 1495,Male,0,Micro,Manufacturing,Punjab,Jalandhar,3,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,pa,16.5,46.75,Kurta Fabric,6,1,1,0,0,0
MSE01496,UDYAM-MH-03-0001496,Nagpur Enterprise 1496,Owner 1496,Female,1,Micro,Manufacturing,Maharashtra,Nagpur,2,ST,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,mr,73.04,11.16,Wooden Craft|Brass Lamp|Papier-mache Decor,6,1,0,0,0,0
MSE01497,UDYAM-OD-03-0001497,Sambalpur Enterprise 1497,Owner 1497,Male,0,Small,Manufacturing,Odisha,Sambalpur,3,OBC,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,665.24,249.65,Wooden Craft|Terracotta Pot|Brass Lamp,4,1,1,0,0,0
MSE01498,UDYAM-KL-02-0001498,Kozhikode Enterprise 1498,Owner 1498,Other,0,Small,Manufacturing,Kerala,Kozhikode,2,ST,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,ml,137.68,153.42,Terracotta Pot|Brass Lamp|Papier-mache Decor,6,1,1,1,1,1
MSE01499,UDYAM-MP-03-0001499,Jabalpur Enterprise 1499,Owner 1499,Male,0,Micro,Manufacturing,Madhya Pradesh,Jabalpur,3,OBC,01,01300,Crop and animal production,agriculture,Agriculture,hi,18.45,18.06,Compost|Organic Fertilizer,6,1,1,1,1,0
MSE01500,UDYAM-TN-01-0001500,Chennai Enterprise 1500,Owner 1500,Female,1,Micro,Manufacturing,Tamil Nadu,Chennai,1,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,en,67.93,39.64,Terracotta Pot,2,1,1,0,0,0
MSE01501,UDYAM-RJ-02-0001501,Jodhpur Enterprise 1501,Owner 1501,Male,0,Micro,Services,Rajasthan,Jodhpur,2,General,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,53.6,36.98,Web Development|IT Support|Catalog Design,4,1,1,1,0,0
MSE01502,UDYAM-MP-03-0001502,Jabalpur Enterprise 1502,Owner 1502,Female,1,Small,Manufacturing,Madhya Pradesh,Jabalpur,3,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,294.59,143.42,Kurta Fabric|Cotton Saree|Silk Stole,4,1,0,0,0,0
MSE01503,UDYAM-DL-01-0001503,New Delhi Enterprise 1503,Owner 1503,Male,0,Micro,Manufacturing,Delhi,New Delhi,1,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,en,44.67,20.05,Handloom Dupatta|Silk Stole,3,1,1,1,1,0
MSE01504,UDYAM-MH-02-0001504,Pune Enterprise 1504,Owner 1504,Male,0,Micro,Manufacturing,Maharashtra,Pune,1,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,15.35,41.93,Decorative Shelf,5,1,0,0,0,0
MSE01505,UDYAM-KL-02-0001505,Kozhikode Enterprise 1505,Owner 1505,Female,1,Micro,Manufacturing,Kerala,Kozhikode,2,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,en,22.0,21.96,Brass Lamp,5,1,1,0,0,0
MSE01506,UDYAM-DL-01-0001506,New Delhi Enterprise 1506,Owner 1506,Male,0,Micro,Manufacturing,Delhi,New Delhi,1,General,31,31001,Manufacture of furniture,others,Home & Kitchen,en,71.44,18.38,Decorative Shelf,2,1,1,1,0,0
MSE01507,UDYAM-UP-03-0001507,Varanasi Enterprise 1507,Owner 1507,Female,1,Small,Manufacturing,Uttar Pradesh,Varanasi,3,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,178.75,98.9,Mango Pickle|Papad|Ready-to-Eat Snacks,6,1,1,1,0,0
MSE01508,UDYAM-UP-02-0001508,Kanpur Nagar Enterprise 1508,Owner 1508,Other,0,Micro,Services,Uttar Pradesh,Kanpur Nagar,2,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,hi,42.33,17.18,IT Support,6,1,1,1,1,0
MSE01509,UDYAM-AP-01-0001509,Visakhapatnam Enterprise 1509,Owner 1509,Other,0,Micro,Manufacturing,Andhra Pradesh,Visakhapatnam,1,ST,31,31001,Manufacture of furniture,others,Home & Kitchen,te,46.73,17.81,Kitchen Organizer,4,1,1,1,1,0
MSE01510,UDYAM-MH-01-0001510,Mumbai Enterprise 1510,Owner 1510,Female,1,Micro,Manufacturing,Maharashtra,Mumbai,1,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,36.3,43.44,Papier-mache Decor|Terracotta Pot|Brass Lamp,6,1,1,1,1,1
MSE01511,UDYAM-AP-03-0001511,Tirupati Enterprise 1511,Owner 1511,Male,0,Micro,Services,Andhra Pradesh,Tirupati,3,OBC,62,62011,"Writing, modifying, testing of computer programs",services,Services,te,63.79,8.61,IT Support|Digital Marketing,5,1,1,1,1,0
MSE01512,UDYAM-AP-03-0001512,Tirupati Enterprise 1512,Owner 1512,Other,0,Micro,Services,Andhra Pradesh,Tirupati,3,ST,62,62011,"Writing, modifying, testing of computer programs",services,Services,en,85.63,25.92,Digital Marketing|Catalog Design|Web Development,1,1,0,0,0,0
MSE01513,UDYAM-UP-02-0001513,Kanpur Nagar Enterprise 1513,Owner 1513,Female,1,Micro,Manufacturing,Uttar Pradesh,Kanpur Nagar,2,Minority,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,89.03,4.73,Kitchen Organizer|Wooden Chair|Decorative Shelf,4,1,1,0,0,0
MSE01514,UDYAM-GJ-01-0001514,Ahmedabad Enterprise 1514,Owner 1514,Other,0,Small,Manufacturing,Gujarat,Ahmedabad,1,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,gu,566.16,263.62,Papad|Masala Mix,3,1,1,0,0,0
MSE01515,UDYAM-UP-02-0001515,Kanpur Nagar Enterprise 1515,Owner 1515,Female,1,Small,Manufacturing,Uttar Pradesh,Kanpur Nagar,2,OBC,01,01300,Crop and animal production,agriculture,Agriculture,hi,233.38,58.73,Vegetable Seeds,5,1,1,1,1,1
MSE01516,UDYAM-TS-03-0001516,Nizamabad Enterprise 1516,Owner 1516,Male,0,Small,Manufacturing,Telangana,Nizamabad,3,Minority,01,01300,Crop and animal production,agriculture,Agriculture,te,945.61,183.71,Herbal Saplings|Organic Fertilizer|Vegetable Seeds,4,1,1,1,1,1
MSE01517,UDYAM-HP-02-0001517,Kangra Enterprise 1517,Owner 1517,Female,1,Micro,Manufacturing,Himachal Pradesh,Kangra,3,SC,01,01300,Crop and animal production,agriculture,Agriculture,hi,33.64,47.41,Vegetable Seeds,4,1,0,0,0,0
MSE01518,UDYAM-RJ-02-0001518,Jodhpur Enterprise 1518,Owner 1518,Other,0,Micro,Manufacturing,Rajasthan,Jodhpur,2,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,15.12,3.61,Mango Pickle|Masala Mix|Ready-to-Eat Snacks,6,1,1,1,0,0
MSE01519,UDYAM-PB-03-0001519,Jalandhar Enterprise 1519,Owner 1519,Other,0,Small,Manufacturing,Punjab,Jalandhar,3,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,pa,364.81,248.73,Mango Pickle|Papad|Masala Mix,4,1,1,1,0,0
MSE01520,UDYAM-TN-01-0001520,Chennai Enterprise 1520,Owner 1520,Female,1,Small,Manufacturing,Tamil Nadu,Chennai,1,General,31,31001,Manufacture of furniture,others,Home & Kitchen,en,416.4,172.57,Wooden Chair,2,1,1,1,1,0
MSE01521,UDYAM-TS-03-0001521,Nizamabad Enterprise 1521,Owner 1521,Other,0,Micro,Manufacturing,Telangana,Nizamabad,3,OBC,20,20232,Manufacture of perfumes and toilet preparations,health_beauty,Beauty & Personal Care,te,57.22,22.4,Essential Oil|Herbal Face Pack|Natural Soap,6,1,1,1,1,0
MSE01522,UDYAM-NL-02-0001522,Dimapur Enterprise 1522,Owner 1522,Male,0,Micro,Manufacturing,Nagaland,Dimapur,3,SC,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,en,88.14,16.24,Papier-mache Decor,2,1,1,1,0,0
MSE01523,UDYAM-HR-01-0001523,Gurugram Enterprise 1523,Owner 1523,Male,0,Small,Manufacturing,Haryana,Gurugram,1,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,en,929.81,344.64,Kurta Fabric|Silk Stole|Handloom Dupatta,3,1,1,0,0,0
MSE01524,UDYAM-KA-03-0001524,Belagavi Enterprise 1524,Owner 1524,Other,0,Micro,Manufacturing,Karnataka,Belagavi,3,Minority,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,kn,62.54,13.89,Cotton Saree|Kurta Fabric,6,1,0,0,0,0
MSE01525,UDYAM-MH-01-0001525,Mumbai Enterprise 1525,Owner 1525,Male,0,Micro,Manufacturing,Maharashtra,Mumbai,1,General,26,26101,Manufacture of electronic components,electronics,Electronics,en,42.44,33.21,Mobile Charger|LED Bulb|Power Adapter,2,1,1,1,1,0
MSE01526,UDYAM-MP-02-0001526,Bhopal Enterprise 1526,Owner 1526,Female,1,Small,Manufacturing,Madhya Pradesh,Bhopal,2,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,396.35,215.0,Ready-to-Eat Snacks|Papad|Masala Mix,6,1,1,0,0,0
MSE01527,UDYAM-UP-03-0001527,Varanasi Enterprise 1527,Owner 1527,Female,1,Small,Manufacturing,Uttar Pradesh,Varanasi,3,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,858.3,179.05,Handloom Dupatta,4,1,1,0,0,0
MSE01528,UDYAM-KA-01-0001528,Bengaluru Urban Enterprise 1528,Owner 1528,Female,1,Micro,Manufacturing,Karnataka,Bengaluru Urban,1,SC,01,01300,Crop and animal production,agriculture,Agriculture,kn,36.33,20.86,Compost|Herbal Saplings|Vegetable Seeds,1,1,0,0,0,0
MSE01529,UDYAM-UP-02-0001529,Kanpur Nagar Enterprise 1529,Owner 1529,Female,1,Micro,Manufacturing,Uttar Pradesh,Kanpur Nagar,2,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,hi,92.39,10.09,Kurta Fabric,5,1,0,0,0,0
MSE01530,UDYAM-UP-03-0001530,Varanasi Enterprise 1530,Owner 1530,Female,1,Micro,Manufacturing,Uttar Pradesh,Varanasi,3,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,hi,66.87,40.52,Papad,5,1,1,1,1,1
MSE01531,UDYAM-GA-01-0001531,North Goa Enterprise 1531,Owner 1531,Female,1,Micro,Manufacturing,Goa,North Goa,3,General,01,01300,Crop and animal production,agriculture,Agriculture,en,20.62,38.01,Compost,5,1,1,1,0,0
